Category,Name,Address,Description,Phone,Hours,Notes,Google Map Link,Gender,age,Bathrooms,
food,St. Paul Tabernacle Baptist,1789 Oakdale (at Phelps),weekly food pantry (Friday),(415) 642-4965,Fri 11:30am-1:30pm,Must live in 94124 zip code. ID required.,"https://maps.google.com/maps?q=1789+Oakdale+san+francisco&ie=UTF-8&hq=&hnear=0x808f7f0424907657:0xb96a234b8745e429,1789+Oakdale+Ave,+San+Francisco,+CA+94124&gl=us&ei=YB29UMLaIYz0iwLWo4HACQ&ved=0CDEQ8gEwAA",,,,Food Pantry
food,United Council of Human Services,1065 Oakdale (nr. Ingalls).,weekly food pantry (Wednesday),(415) 643-1700,,Sign up Wed 8am (with ID); food given out Wed 9:30am. Those not signed up may line up Wed 8:30am to see if there is extra,"https://maps.google.com/maps?q=1065+Oakdale+san+francisco&ie=UTF-8&hq=&hnear=0x808f7f14e28d0ca5:0xa2a1353aa375849b,1065+Oakdale+Ave,+San+Francisco,+CA+94124&gl=us&ei=qI2_UOWnO-fziQLQkoDoBQ&ved=0CDEQ8gEwAA",,,,Food Pantry
food,Arriba Juntos,1850 Mission (between 14th & 15th St),weekly food pantry (Thursday),(415) 487-3240,Thurs 9am,Sign up Thurs 8:30am to get groceries at 9am. Must live in 94110 or 94103 zipcode. ID required,"https://maps.google.com/maps?q=1850+mission+st+san+francisco+ca&ie=UTF-8&hq=&hnear=0x808f7e2161356897:0x617b1fa8b82aba58,1850+Mission+St,+San+Francisco,+CA+94103&gl=us&ei=PJK_UPnaMI3ciQK4_YCABQ&ved=0CDEQ8gEwAA",,,,Food Pantry
food,Fill up America,1050 S. VAN NESS (bet. 21st & 22nd),weekly food pantry (Friday),(800) 994-0041,Fri 10:45-11:30am,Line up Fri 9:30am to get food 10:45-11:30am,"https://maps.google.com/maps?q=1050+S.+VAN+NESS+san+francisco&ie=UTF-8&hq=&hnear=0x808f7e3dcd7af123:0x3f1814628d25287f,1050+S+Van+Ness+Ave,+San+Francisco,+CA+94110&gl=us&ei=Upu_UP_dNuveigKl1oDwCw&ved=0CDEQ8gEwAA",,,,Food Pantry
food,"Salvation Army, Mission",156 VALENCIA (bet. 22nd & 23rd Sts),Food pantry. Call for interview M–Th 9am-12pm.,(415) 648-0260,," Must live in 94107, 94110, 94112, 94114, or 94131 zip code. English, Spanish.","https://maps.google.com/maps?q=156+VALENCIA+san+francisco&ie=UTF-8&hq=&hnear=0x808f7e2073ab6651:0xe0a340c0e474dc4c,156+Valencia+St,+San+Francisco,+CA+94103&gl=us&ei=eLi_UIT-NYf1igL1ooHIDw&ved=0CDEQ8gEwAA",,,,Food Pantry
food,St. Aidan's,101 GOLDMINE DR (at Diamond Heights Blvd),,,Fri 1-2pm,"Produce, canned & dry goods. Must live in 94131 zip code. ID required","https://maps.google.com/maps?q=101+GOLDMINE+DR+san+francisco&ie=UTF-8&hq=&hnear=0x808f7e7231b39983:0x336500345e71abb9,101+Gold+Mine+Dr,+San+Francisco,+CA+94131&gl=us&ei=pre_ULepLaK6igKa0oDoDw&ved=0CDEQ8gEwAA",,,,Food Pantry
food,Women's Building,18TH ST. (bet. Valencia & Guerrero),,(415) 431-1180 ext. 11,,"For immigrant SF residents only. Sign up 9:30am Oct 1 to pick up weekly groceries for the next 6 months; if not signed up, come Mon 11am to see if there is extra. Bring a bag. English, Cantonese, Spanish.","https://maps.google.com/maps?q=18TH+St+san+francisco&ie=UTF-8&hq=&hnear=0x808f7e3b062505a7:0x3a5f2d53938d362c,18th+St,+San+Francisco,+CA&gl=us&ei=PLm_UO2zNJDhiwKZvoCoAQ&ved=0CDEQ8gEwAA",,,,Food Pantry
food,Calvary United Methodist Church,1400 Judah (nr. 19th Ave),weekly food pantry (Friday),(415) 566-3704,Fri 8-10am.,"Must live in 94121 or 94122 zip code. ID required. English, Cantonese, Mandarin, Tagolog.","https://maps.google.com/maps?q=1400+Judah+san+francisco&ie=UTF-8&hq=&hnear=0x80858765aebb4301:0x5e4a5ff155dab558,1400+Judah+St,+San+Francisco,+CA+94122&gl=us&ei=tLm_UPa5AaKGjAKY1YCoAw&ved=0CDEQ8gEwAA",,,,Food Pantry
food,OMI Family Resource Ctr,650 CAPITOL (near Montana),weekly food pantry (Tuesday),(415) 406-1370,Tues 11am-noon,"Apply Tues 9am-12pm for weekly appt to pick up food Tues 11am-noon. Must live in 94112, 94116, or 94132 zip code. Photo ID & proof of current address required.","https://maps.google.com/maps?q=650+CAPITOL+san+francisco&ie=UTF-8&hq=&hnear=0x808f7c31c3031453:0x991721fbffe10e19,650+Capitol+Ave,+San+Francisco,+CA+94112&gl=us&ei=Y7y_UN7NB4fxiwKc44HAAQ&ved=0CD0Q8gEwAA",,,,Food Pantry
food,OMI Senior Ctr,65 BEVERLY (at Holloway),weekly food pantry (Thursday) and monthly food box for seniors (60+) & disabled adults.,(415) 334-5550,Thurs 9am-noon,"For seniors (60+) & disabled adults. Sign up M-W 8:30am-2pm, Fri 8:30am-2pm for weekly appointment to pick up food Thurs 9am-noon; sign up for food boxes 9am-12pm 4th Mon of the month. Photo ID, proof of income, & proof of current address required for both services. English, Cantonese, Mandarin, Spanish, Tagalog, Vietnamese.","https://maps.google.com/maps?q=65+BEVERLY+san+francisco&ie=UTF-8&hq=&hnear=0x808f7c4adb74e467:0x43af1c58f415e715,65+Beverly+St,+San+Francisco,+CA+94132&gl=us&ei=2b2_UPKhGYqDiwKrs4HQAg&ved=0CDEQ8gEwAA",,,,Food Pantry
food,Temple United Methodist Church,"65 BEVERLY (at
19th Ave).",weekly food pantry (Wednesday). Call for Appointment,211,Wed 4-7pm,"Call 211 to apply for a weekly appt to pick up food Wed 4-7pm. Must live in zip code 94112, 94116, 94127, or 94132. Approved clients must bring registration card & photo ID with current address to pick up food.","https://maps.google.com/maps?q=65+beverly+st+san+francisco&ie=UTF-8&hq=&hnear=0x808f7c4adb74e467:0x43af1c58f415e715,65+Beverly+St,+San+Francisco,+CA+94132&gl=us&ei=tMO_UIyHKKjGiwKx-4CYBw&ved=0CDEQ8gEwAA",,,,Food Pantry
food,Mary Elizabeth Inn,1040 Bush St (near Jones),weekly food pantry (Wednesday). Women only.,(415) 673-6768,Wed 9am-10am,line up 9am Wed; food given out 9-10am; bring a bag.,"https://maps.google.com/maps?q=1040+bush+st+san+francisco&ie=UTF-8&hq=&hnear=0x80858092437ed05f:0x4683e6192ec50eee,1040+Bush+St,+San+Francisco,+CA+94109&gl=us&ei=OsS_ULzcNoz0iwL9xoDwCA&ved=0CDEQ8gEwAA",,,,Food Pantry
food,Project Open Hand,730 POLK (near Ellis),food pantry for people with HIV/AIDS or breast cancer,(800) 551-6325,,"People with symptomatic HIV or AIDS or breast cancer: call M-Sa 9am-4pm for interview appt. If accepted, pick up food Tues 9am-4pm, Wed-Sat 11am-4pm. Proof of diagnosis & SF residency & photo ID required.","https://maps.google.com/maps?q=730+polk+san+francisco&ie=UTF-8&hq=&hnear=0x80858097268eb259:0xd16291c7c996c592,730+Polk+St,+San+Francisco,+CA+94109&gl=us&ei=uMW_UMHcFIHViwKt1YDwBg&ved=0CDEQ8gEwAA",,,,Food Pantry
food,S.F. Rescue Mission,140 TURK (bet. Taylor & Jones),sign up to get food one Thursday a month,(415) 441-1628,,Sign up Wed 12-12:30pm to get food one Thurs a month 12-12:30pm. Must live in 94102 zip code. Photo ID & proof of address required,"https://maps.google.com/maps?q=140+TURK+san+francisco&ie=UTF-8&hq=&hnear=0x8085808543cf4bc7:0x8e2a67517d4a2f2f,140+Turk+St,+San+Francisco,+CA+94102&gl=us&ei=_sS_UOrzF6nuiQKnxYDoBw&ved=0CDEQ8gEwAA",,,,Food Pantry
food,Salvation Army Chinatown,1450 POWELL (nr Broadway),weekly food pantry (Friday),(415) 781-7002, Fri 3pm,"Call MWF 9am-4pm for interview appt. If accepted, get food Fri 3pm. If not
signed up, come Fri 2:30pm to see if there’s extra food. Must live in 94108, 94109, 94111, 94123, 94129, 94130, 94133, or 94158 zip code. English, Cantonese, Mandarin.","https://maps.google.com/maps?q=1450+POWELL+san+francisco&ie=UTF-8&hq=&hnear=0x808580f23181a54f:0x5c27307453ea7c28,1450+Powell+St,+San+Francisco,+CA+94133&gl=us&ei=HMa_UKy3LKjyigLC2YDwAw&ved=0CDEQ8gEwAA",,,,Food Pantry
food,Salvation Army Kroc Center,240 TURK (nr. Jones).,weekly food pantry (Friday),(415) 345-3414,,"Register Friday 7:30am to get food the following Friday. Must live in 94102, 94103, 94115, 94117, 94118, or 94121 zip code. ID required.","https://maps.google.com/maps?q=240+TURK+san+francisco&ie=UTF-8&hq=&hnear=0x8085809aae0e1955:0x76ba9b6f4745b436,240+Turk+St,+San+Francisco,+CA+94102&gl=us&ei=L7e_UJycA4qkiQL4poGwCg&ved=0CDEQ8gEwAA",,,,Food Pantry
food,Salvation Army South of Market,360 4TH ST. (nr. Folsom),weekly food pantry (Friday),(415) 777-2677,Fri 8:30am ,"Food given out Fri 8:30am (line up early to get a number). You must live in 94104 or 94105 zip code. ID required. English, Cantonese, & Mandarin.","https://maps.google.com/maps?q=360+4TH+ST+san+francisco&ie=UTF-8&hq=&hnear=0x8085807e3d3b9515:0x29de7279c9a50ec4,360+4th+St,+San+Francisco,+CA+94107&gl=us&ei=r7a_UNa7CuW8iwK0j4H4DA&ved=0CDEQ8gEwAA",,,,Food Pantry
food,Youth With A Mission,357 ELLIS (near Jones).,weekly food pantry (Thursday),(415) 885-6543,Thurs 1:30pm,Line up Thur 11am; food given out. Must live in 94102 zip code. ID required,"https://maps.google.com/maps?q=357+ellis+st+san+francisco&ie=UTF-8&hq=&hnear=0x8085808fe645e2b1:0xb9e7479dae96927a,357+Ellis+St,+San+Francisco,+CA+94102&gl=us&ei=K7a_UJ-ALsPkiwKHgIGYCQ&ved=0CDEQ8gEwAA",,,,Food Pantry
food,Bethel AME Church,916 LAGUNA (at Golden Gate).,provides weekly boxes of food for six months. must sign up,(415) 921-4935,,"Apply 8am-noon Fri, Oct 12 for a randomly-assigned appt (not first-come-firstserved) to get food weekly for six months. ID required. Bring a bag","https://maps.google.com/maps?q=916+LAGUNA+san+francisco&ie=UTF-8&hq=&hnear=0x808580bd278140e3:0x775c46b39d7349f,916+Laguna+St,+San+Francisco,+CA+94115&gl=us&ei=97-_UNTTG8TVigKO0IGACg&ved=0CDEQ8gEwAA",,,,Food Pantry
food,Booker T. Washington Community Svce Ctr.,800 PRESIDIO (at Sutter).,weekly food pantry (Thursday),(415) 928-6596,Thur 11:30am-1pm,"Call Wed 9am-noon for appt to get food Thur 11:30am-1pm. Produce, canned & dry goods. Photo ID required.","https://maps.google.com/maps?q=800+PRESIDIO+san+francisco&ie=UTF-8&hq=&hnear=0x808580cac88eb57b:0xa9a0a393814f9107,800+Presidio+Ave,+San+Francisco,+CA+94115&gl=us&ei=Rr-_UKnbNu30iwLewYGwBw&ved=0CDEQ8gEwAA",,,,Food Pantry
food,First Friendship Institutional Baptist Church,501 STEINER (at Oak).,weekly food pantry (Friday),(415) 431-4775,,Sign up 9am Friday for appt to pick up food Fri morning. You must live in 94115 or 94117 zip code. Bring a bag. Photo ID required.,"https://maps.google.com/maps?q=501+STEINER+san+francisco&ie=UTF-8&hq=&hnear=0x808580a5ca795ce7:0xd793ed648857f708,501+Steiner+St,+San+Francisco,+CA+94117&gl=us&ei=vMC_UNOtGM3OigKdx4DYBg&ved=0CDEQ8gEwAA",,,,Food Pantry
food,Jones Memorial United Methodist Church,1975 POST (at Steiner).,weekly food pantry,(415) 921-7653,,"Sign up 10:30-11:30am Sat for weekly appt to pick up food. Must live in 94102, 94109 or 94115 zip code. ID & proof of current address required. Bring a bag.","https://maps.google.com/maps?q=1975+post+street+san+francisco+ca&ie=UTF-8&hq=&hnear=0x808580b8376072f1:0x2c168a6de75da45e,1975+Post+St,+San+Francisco,+CA+94115&gl=us&ei=KsG_UNiKDYaUjAK_zIGIAw&ved=0CDEQ8gEwAA",,,,Food Pantry
food,Korean American Senior Service,745 BUCHANAN (at Grove),weekly food pantry (Friday),(415) 255-9371,Fri 9-11am,ID required,"https://maps.google.com/maps?q=745+BUCHANAN+san+francisco&ie=UTF-8&hq=&hnear=0x808580a30ca942df:0xdd71f28fe78c8b1b,745+Buchanan+St,+San+Francisco,+CA+94102&gl=us&ei=6Jq_UPi5IcTXigLmm4HwBQ&ved=0CDEQ8gEwAA",,,,Food Pantry
food,Macedonia Missionary Baptist Church,2135 SUTTER (near Pierce).,weekly food pantry (Wednesday),,Wed 10am-12pm,"Must live in 94102, 94109, or 94115 zip code. ID required","https://maps.google.com/maps?hl=en&q=2135+SUTTER+san+francisco&ie=UTF-8&hq=&hnear=0x808580b7f90942ab:0x573d194f07089b0d,2135+Sutter+St,+San+Francisco,+CA+94115&gl=us&ei=oJq_UIytBMiviALU9oCwAw&ved=0CDIQ8gEwAA",,,,Food Pantry
food,St. Andrew Missionary Baptist Church,2565 POST (near Baker).,weekly food pantry (wednesday). sign up to get food for the the next 90 days,,Wed 10:15am,"Don’t line up before 8am. Sign up Wed Jan 2, 8:15am for appt to get food Wed morning for next 90 days. Those not signed up can come Wed 10:15am to see if there’s extra food. No ID required, just a smile.","https://maps.google.com/maps?q=2565+POST+san+francisco&ie=UTF-8&hq=&hnear=0x808580b57f9b0785:0xd070053c72c1a7bc,2565+Post+St,+San+Francisco,+CA+94115&gl=us&ei=AcK_UOqCNqGkigLzsoD4Bg&ved=0CDEQ8gEwAA",,,,Food Pantry
food,Treasure Island Homeless Development Initiative,"850 AVENUE I ON TREASURE ISLAND (at 9th St, in the Shipshape Building).",weekly food pantry (Tuesday),(415) 274-0311,Tues 3-4:30pm.,For Treasure Island residents only. ID & lease required.,"https://maps.google.com/maps?hl=en&q=Treasure+Island,+850+Avenue+I,+San+Francisco,+CA&ie=UTF-8&hq=&hnear=0x808581cd6c85feed:0xc60fedb9eb73d7d9,850+Avenue+I,+San+Francisco,+CA+94130&gl=us&ei=KZq_UPO7E8m0iwKS-YC4Cg&ved=0CH8QtgM",,,,Food Pantry
food,Supplemental Food Program,,Citywide program. Call 211 for nearest location to get one 35lb box of dry & canned goods per month. For SF residents age 60+ & non-WIC families with children under 6. Must provide proof of age & income.,211,,,,,,,Citywide Food Program
food,WIC,,"WIC provides food vouchers, info & support for breastfeeding, & nutritional counseling. You can take vouchers to some grocery stores for fruits & vegetables, whole grains, beans (or peanut butter), cereal, juice, eggs, milk, cheese, iron-fortified infant formula & baby food for infants.",(415) 575-5788,"M-F 8am-12pm, 1-5pm","Women who are pregnant of have children under 5 years, call for referral to sign up in one of 6 locations. Bring proof of income, address, & verification of pregnancy. ",,,,,Citywide Food Program
food,Glide Memorial Church,330 Ellis Street,"Dinning room that serves breakfast, lunch, and dinner Monday-Friday. Limited Food Service Saturday and Sunday.",(415) 674-6043,"8am - 9am Everyday, Noon - 1:30pm Everyday, 4pm - 5:30pm (Monday - Friday)",Breakfast: Every day from 8am until tickets run out; Seniors (over age 60) 7:30am. Lunch: Every day from noon until tickets run out; bag meal (2 sandwiches+) given out after lunch Sat & Sun. Dinner: Monday-Friday from 4pm until tickets run out.,"https://maps.google.com/maps?q=330+Ellis+Street+san+francisco&ie=UTF-8&hq=&hnear=0x8085808f94d546d7:0x60a6700d1d886fcf,330+Ellis+St,+San+Francisco,+CA+94102&gl=us&ei=nru_ULTaCqe9iwLzsoHYAg&ved=0CD4Q8gEwAQ",,,Yes,Meal Service
food,St. Anthony Foundation,150 Golden Gate,"Dinning room that serves lunch everyday. All entrees served with fruit, vegetables, bread, beverage, and dessert!",(415) 241-2690,"10:00am-11:30am (Seniors), 11:30am-1:30 pm",Full-course meal. Families & folks age 60+ or unable to carry a tray: 10-11:30am. All others: 11:30am-1:30pm. When you arrive you will be given a number for a meal. You may be asked to go wait at 240 Golden Gate until your number is called. ,"https://maps.google.com/maps?q=150+golden+gate+san+francisco&ie=UTF-8&hq=&hnear=0x8085809ac9335d89:0x29796d7f896bd754,150+Golden+Gate+Ave,+San+Francisco,+CA+94102&gl=us&ei=Zse_UL6xD-70igLGmYCgAQ&ved=0CDEQ8gEwAA",,,Yes,Meal Service
food,All Saints' Episcopal Church,1350 WALLER,Dinning room serving Saturday Brunch,(415) 621-1862,Saturday 10:30-11:30am,"Meat; potatoes or pasta or rice; vegetables, salad, pastry, coffee & bread","https://maps.google.com/maps?q=1350+waller+san+francisco&ie=UTF-8&hq=&hnear=0x808580acb00137bd:0x44c7ce764a5ba587,1350+Waller+St,+San+Francisco,+CA+94117&gl=us&ei=stPAUKeBM6noiwK4u4GYCA&ved=0CDEQ8gEwAA",,,,Meal Service
food,City Team Ministries,164 - 6TH ST. (btw. Mission & Howard),A hot meal served 5 days a week,(415) 861-8688,"Tues-Fri 5:45pm (for church group)/ 6pm for meal, Sat 1pm-3pm",Dinner: Tues-Fri arrive 5:45pm for 6pm church group (optional) & dinner. Those who come to church group are fed first. A hot meal. Clothes & foot care available at Sat lunch. Medical clinic 2nd & 4th Sat of each month.,"https://maps.google.com/maps?q=164+6th+street+san+francisco&ie=UTF-8&hq=&hnear=0x80858083fa35a90f:0x8c8902e2c4e222ad,164+6th+St,+San+Francisco,+CA+94103&gl=us&ei=ANTAUIegLcvwiQKX5IDwBA&ved=0CDEQ8gEwAA",,,,Meal Service
food,Curry Senior Center,333 TURK (btw. Hyde & Leavenworth),Dining room serving seniors. Breakfast and lunch served everyday,(415) 292-1086,"8-9am, 11am-12pm",For those age 60 & over with ID. $2 suggested donation; no one turned away for lack of funds. Sign up 8am for lunch.,"https://maps.google.com/maps?q=333+turk+san+francisco&ie=UTF-8&hq=&hnear=0x8085809a998e9555:0xd59ea05f7f6c3ee7,333+Turk+St,+San+Francisco,+CA+94102&gl=us&ei=6dbAUKjXHMm0igLQ_4C4Dg&ved=0CDEQ8gEwAA",,,,Meal Service
food,Curry Without Worry,HYDE & FULTON (by the statue of Bolívar),A hot meal served once a week (Tuesdays) for dinner.,(415) 418-4361,Tues 5:30pm until food runs out,"Vegan! Curried vegetables, 9-bean soup, puris, rice, & chutney. ","https://maps.google.com/maps?hl=en&q=HYDE+%26+FULTON+san+francisco&ie=UTF-8&hq=&hnear=0x8085809b0ee7ce85:0x36cac2193e914046,Fulton+St+%26+Hyde+St,+San+Francisco,+CA+94102&gl=us&ei=s_PIUL_UJsWYiAKRg4HYAw&ved=0CCsQ8gEwAA",,,,Meal Service
food,Food Not Bombs (UN PLAZA),UN PLAZA (Market btw 7th & 8th Sts),A hot meal served twice a week for dinner.,,"Mon 6:30pm, Wed 6pm",Vegan! soup &/or entree;bread (may have animal products); often salad. Bring your own bowl. Meal times vary: often late or cancelled.,"https://maps.google.com/maps?q=un+plaza+san+francisco+ca&aq=1&sugexp=chrome,mod%3D3&um=1&ie=UTF-8&hl=en&sa=N&tab=wl&authuser=0",,,,Meal Service
food,Food Not Bombs (16TH & MISSION),16TH & MISSION (BART Plaza),A hot meal served twice a week for dinner.,,Mon& Thur 7pm,Vegan! soup &/or entree;bread (may have animal products); often salad. Bring your own bowl. Meal times vary: often late or cancelled.,"https://maps.google.com/maps?oe=utf-8&client=firefox-a&q=16TH+%26+MISSION+san+francisco&ie=UTF-8&hq=&hnear=0x808f7e239f0493ef:0xb458d4ac3faa3797,Mission+St+%26+16th+St,+San+Francisco,+CA+94103&gl=us&ei=3vPIUIaNGsShiQLivICYDA&ved=0CDEQ8gEwAA",,,,Meal Service
food,Food Not Bombs (HAIGHT & STANYAN),HAIGHT & STANYAN (Golden Gate Park),A hot meal served once a week for dinner.,,Sat 5pm,Vegan! soup &/or entree;bread (may have animal products); often salad. Bring your own bowl. Meal times vary: often late or cancelled.,"https://maps.google.com/maps?hl=en&client=firefox-a&q=HAIGHT+%26+STANYAN++san+francisco&ie=UTF-8&hq=&hnear=0x80858751990cfd51:0x68ef01954fbad53a,Stanyan+St+%26+Haight+St,+San+Francisco,+CA+94117&gl=us&ei=9vPIUMWAEcj6igLkkIHoCA&ved=0CC4Q8gEwAA",,,,Meal Service
food,Fraternié Notre Dame (Turk),54 TURK ST. (btw Market & Jones),A hot meal.,(415) 793-5686,Tues-Thurs 11:30am-1:30pm,,"https://maps.google.com/maps?q=54+TURK+ST+san+francisco&ie=UTF-8&hq=&hnear=0x80858085a1ccbfe7:0x2478da83ba0ba13a,54+Turk+St,+San+Francisco,+CA+94102&gl=us&ei=EA7BUIz0I4HoiQL09IHgCw&ved=0CDEQ8gEwAA",,,,Meal Service
food,Fraternitè Notre Dame (UN Plaza),UN PLAZA (Market btw 7th & 8th Sts),A hot meal.,(415) 793-5686,Tues 4pm-6pm,,"https://maps.google.com/maps?q=un+plaza+san+francisco+ca&aq=1&sugexp=chrome,mod%3D3&um=1&ie=UTF-8&hl=en&sa=N&tab=wl&authuser=0",,,,Meal Service
food,Jones Memorial United Methodist Church,1975 POST (near Steiner),"Full hot lunch the 2nd, 3rd &4th Wed of each month. Clothing &
toiletries available.",(415) 921-7653,Wed 11:30am-1pm,,"https://maps.google.com/maps?q=1975+post+street+san+francisco+ca&ie=UTF-8&hq=&hnear=0x808580b8376072f1:0x2c168a6de75da45e,1975+Post+St,+San+Francisco,+CA+94115&gl=us&ei=ggzBUOHmA6f8iQLj54G4AQ&ved=0CDEQ8gEwAA",,,,Meal Service
food,Martin De Porres,225 Poterero (near 16th street),Dinning room serving at least one meal a day.,(415) 552-0240,"Sun Brunch 9-10:30am, Mon Breakfast 6:30am-7:30am, Tues Breakfast 6:30am-7:30am, Tues Lunch 12pm-2pm, Wed Lunch 12pm-2pm, Thurs Breakfast 6:30am-7:30am, Thurs Lunch12pm-2pm, Fri Breakfast 6:30am-7:30am, Fri Lunch 12pm-2pm, Sat Lunch 12pm-2pm",Usually a vegetarian or vegan alternative. Breakfast: oatmeal & herb tea. Brunch: a hearty meal. Lunch: a hearty soup & salad.,"https://maps.google.com/maps?hl=en&client=firefox-a&q=225+Potrero+san+francisco&ie=UTF-8&hq=&hnear=0x808f7e2e06d47785:0x2ab047743401922f,225+Potrero+Ave,+San+Francisco,+CA+94103&gl=us&ei=4vTIUO2ULszriQLQ-4D4Dg&ved=0CDIQ8gEwAA",,,,Meal Service
food,North Peninsula Food Pantry & Dining Center of Daly City,31 Bepler (near Mission),Dinner served three times a year.,(650) 994-5150,"M 5pm-5:30pm, Tues 5pm-5:30pm, Thurs 5pm-5:30pm",,"https://maps.google.com/maps?hl=en&client=firefox-a&rls=org.mozilla:en-US:official&q=31+Bepler+san+francisco&bav=on.2,or.r_gc.r_pw.r_qf.&bvm=bv.1355325884,d.cGE&bpcl=39967673&biw=1013&bih=661&um=1&ie=UTF-8&sa=N&tab=wl",,,,Meal Service
food,Providence Foundation of SF,1601 McKinnon (at Mendell),Hearty Lunch every Wednsday.,(415) 206-0263,W 12:45pm-2pm,Optional Bible study before a hearty lunch.,"https://maps.google.com/maps?oe=utf-8&client=firefox-a&q=1601+McKinnon+san+francisco&ie=UTF-8&hq=&hnear=0x808f7f0f83b3defb:0x7d7df404fb83914d,1601+McKinnon+Ave,+San+Francisco,+CA+94124&gl=us&ei=FWjLUIrVGZD2igKOiYCQAw&ved=0CDUQ8gEwAA",,,,Meal Service
food,St. Peter & Paul Catholic Church,666 Filbert (near Washington Sq.),A simple sandwhich offered everyday.,(415) 421 0809,"Sun 4pm, M-F 6pm-6:30pm, Sat 4pm",,"https://maps.google.com/maps?hl=en&client=firefox-a&q=666+Filbert+san+francisco&ie=UTF-8&hq=&hnear=0x808580f05175ceb9:0xb037c4f3ac918cc7,666+Filbert+St,+San+Francisco,+CA+94133&gl=us&ei=umrLUL3QO9HZigLA-4D4CA&ved=0CDIQ8gEwAA",,,,Meal Service
food,S. F. Rescue Mission,140 Turk (btw. Taylor & Jones),"Breakfast and Dinner Monday through Friday.
",(415) 441-1628,"M-F 10:30am-10:45am, M-F 3:45pm",Breakfast is coffee and pastry. Full course dinner is served at 3:45 pm. Blankets may be available. Mandatoory church service at 4pm. Doors close at 4:15pm.,"https://maps.google.com/maps?hl=en&client=firefox-a&q=140+Turk+san+francisco&ie=UTF-8&hq=&hnear=0x8085808543cf4bc7:0x8e2a67517d4a2f2f,140+Turk+St,+San+Francisco,+CA+94102&gl=us&ei=CnPLUJ62HajxigKKiYDQAw&ved=0CDIQ8gEwAA",,,,Meal Service
food,Third Baptist Church,1399 McAllister (near Pierce),Hearty Lunch every Thursday,,Thurs 12:30pm-1:30pm,"Meat, bread, vegetables, salad, punch, & dessert.","https://maps.google.com/maps?hl=en&client=firefox-a&q=1399+McAllister+san+francisco&ie=UTF-8&hq=&hnear=0x808580babcc769f9:0x1690d802e0dcbfdf,1399+McAllister+St,+San+Francisco,+CA+94115&gl=us&ei=22jLUODfMo_ligKcuoHICw&ved=0CDIQ8gEwAA",,,,Meal Service
food,United Council of Human Services,2111 JENNINGS (at Van Dyke),Hot breakfast. Hot dinner.,(415) 671-1100,"M-F 7-9am, 5-7pm",,"https://maps.google.com/maps?q=2111+jennings+san+francisco+ca&ie=UTF-8&hq=&hnear=0x808f7f170b2bb921:0xcbf63d3470ca2efa,2111+Jennings+St,+San+Francisco,+CA+94124&gl=us&ei=9eDAULygK8qDjAK_74DwCA&ved=0CDEQ8gEwAA",,,,Meal Service
food,Calvary United Methodist Church,1400 Judah (near 19th Ave),"Hot breakfast on the first & third Sunday of the month. Pancakes, grits, eggs.",(415) 566-3704,Sun 10:30am-11am,,"https://maps.google.com/maps?hl=en&client=firefox-a&q=1400+Judah+san+francisco&ie=UTF-8&hq=&hnear=0x80858765aebb4301:0x5e4a5ff155dab558,1400+Judah+St,+San+Francisco,+CA+94122&gl=us&ei=g3fLUIX2EYe9iwKewoGIBQ&ved=0CDIQ8gEwAA",,,,Meal Service
food,First Friendship Institutional Baptist Church,501 STEINER (at Oak).,Hot meal forth Saturday of the month.,,Sat 12pm-3pm,,"https://maps.google.com/maps?q=501+STEINER+san+francisco&ie=UTF-8&hq=&hnear=0x808580a5ca795ce7:0xd793ed648857f708,501+Steiner+St,+San+Francisco,+CA+94117&gl=us&ei=vMC_UNOtGM3OigKdx4DYBg&ved=0CDEQ8gEwAA",,,,Meal Service
food,Iglesia Latina Americana de las Adventistas 7 Dia,3024 24th St (near Harrison),"Lacto-ovo-vegitarian! Eggs, rice, beans, & cocoa or punch served on the  third Sunday of each month.",,Sun 9:30am-11am,,"https://maps.google.com/maps?hl=en&client=firefox-a&q=3024+24th+St,+San+Francisco,+CA&ie=UTF-8&hq=&hnear=0x808f7e4886ce2781:0xd335844aae40ebbf,3024+24th+St,+San+Francisco,+CA+94110&gl=us&ei=GJvLUNSoJpDtiQKsyYCYAQ&ved=0CDIQ8gEwAA",,,,Meal Service
food,Macedonia Missionary Baptist Church,2135 SUTTER (near Pierce).,A full course meal the Saturday before the forth Sunday of each month. ,(415) 346-1154,Sat 11:30am-1pm,There is a short blessing before the meal.,"https://maps.google.com/maps?hl=en&q=2135+SUTTER+san+francisco&ie=UTF-8&hq=&hnear=0x808580b7f90942ab:0x573d194f07089b0d,2135+Sutter+St,+San+Francisco,+CA+94115&gl=us&ei=oJq_UIytBMiviALU9oCwAw&ved=0CDIQ8gEwAA",,,,Meal Service
food,Philadelphian 7th-Day Adventist Church,2520 Bush (at Divisadero),"Lacto-ovo-vegitarian! Fruit, cereal, juice, bread, milk, entree & hot beverage on the second & forth Sundays of the month.",(415) 567-0263,Sun 10am-noon,`,"https://maps.google.com/maps?hl=en&client=firefox-a&q=2520+bush+street+san+francisco+ca&ie=UTF-8&hq=&hnear=0x808580c9b9238587:0x10d0d88e8707e3d6,2520+Bush+St,+San+Francisco,+CA+94115&gl=us&ei=TZzLUI6eFan0iwL_poCICg&ved=0CDIQ8gEwAA",,,,Meal Service